metric,low_var,high_var,interpretation,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
Local bond rate,rb1,rb2,higher is costlier,-7.30670869262262e-05,-7.30670869262262e-05,0,-0.001011178853499,-0.001011178853499,0,-0.000301026630669776,-0.000301026630669776,0,0.000242200425824235,0.000242200425824235,0
Debt service pressure,ds1,ds2,higher is more pressure,0.00636479718118129,0.0162425606315035,0.00987776345032219,0.000790762226324953,0.00220086080066263,0.00141009857433768,-0.00113651456210569,-0.00212117418267736,-0.000984659620571665,-0.000626716367662015,-0.00076392033279438,-0.000137203965132365
Fiscal space,fs1,fs2,lower is tighter,-0.0104497788189102,-0.0205438907611732,-0.010094111942263,-0.00299446009686168,-0.00471564235654631,-0.00172118225968464,0.00095899340934108,0.00172214970519528,0.000763156295854203,0.000940859603707572,0.000723574323214557,-0.000217285280493015
Public investment,ig1,ig2,lower is weaker,-0.00534815634845821,-0.00694081602022116,-0.00159265967176295,-0.0131994826307321,-0.0152324077691943,-0.0020329251384622,-0.00407555860114717,-0.00537550089295871,-0.00129994229181155,0.00307669773516124,0.00106579756280444,-0.00201090017235681
Public capital,kg1,kg2,lower is weaker,-0.00534815634845831,-0.00694081602022134,-0.00159265967176303,-0.0400222768629424,-0.0478832405203176,-0.00786096365737521,-0.0673460510728492,-0.0799674102783041,-0.0126213592054549,-0.0567102843995699,-0.0747237318680742,-0.0180134474685043
Intermediate output,ym1,ym2,lower is weaker,-0.0212856920442565,-0.0222109696995049,-0.000925277655248413,-0.011847582428375,-0.0126408249330898,-0.000793242504714797,-0.00127210036961245,-0.00173505246263839,-0.000462952093025937,0.00112385225167722,0.000266789459575589,-0.000857062792101626
Final output,y1,y2,lower is weaker,-0.0208460403162454,-0.0226506214275159,-0.00180458111127058,-0.0112456747001622,-0.0132427326613025,-0.00199705796114025,-0.000905906913595045,-0.00210124591865579,-0.00119533900506075,0.00160310208084868,-0.000212460369595768,-0.00181556245044445
Private investment,inv1,inv2,lower is weaker,-0.000818394437668485,-0.000876249496624654,-5.78550589561688e-05,0.00281153272726362,0.00275079832556416,-6.07344016994582e-05,0.00301704931925947,0.00297535246930697,-4.1696849952505e-05,-0.000355629011931785,-0.000227007223502246,0.000128621788429539
Labor demand,n1,n2,lower is weaker,-0.0100314048060218,-0.0104674646108176,-0.00043605980479583,-0.0052754198492489,-0.00557509267102801,-0.000299672821779118,-0.000117091500032529,-0.000190546989811857,-7.34554897793283e-05,0.000867614257314853,0.000663312257569382,-0.000204301999745471
Real wage,w1,w2,lower is weaker,-0.0991424603328239,-0.102035378631729,-0.00289291829890481,-0.0320533770899616,-0.0334488314020727,-0.00139545431211108,-0.000209070825222479,-0.000192221586423846,1.6849238798633e-05,0.00158653971587963,0.000637699163957617,-0.000948840551922014
Consumption,c1,c2,lower is weaker,-0.0146794895301187,-0.0148335559106701,-0.000154066380551487,-0.000857724796693882,-0.00076112321767241,9.66015790214714e-05,0.000152602368292509,0.000298902504995757,0.000146300136703248,-0.00111796664238095,-0.00105125070889811,6.67159334828415e-05
Inflation,pinf1,pinf2,lower is weaker,-0.0155444126202612,-0.0158536288109132,-0.000309216190652051,-0.00282370071928728,-0.00280505349249449,1.86472267927895e-05,0.00121336859446086,0.00124161655864485,2.82479641839917e-05,0.00046382480858731,0.000449773415921673,-1.40513926656372e-05
